source;target;pre_link;post_link
9779;9777;1;1
9780;9777;1;0
8914;9777;0;1
20522;9777;0;1
43123;9777;0;1
43121;9777;0;1
43126;9779;1;0
40074;9779;0;1
20522;9779;0;1
9777;9779;1;1
9781;9779;1;0
40079;9779;1;0
9780;9779;1;0
8914;9780;1;0
8916;9780;1;0
12931;9780;1;0
43127;9780;1;0
40074;9780;1;0
71132;9780;1;0
9781;9780;1;0
9777;9780;1;0
8909;9780;1;0
40066;9780;1;0
9779;9780;1;0
78976;9781;1;1
43126;9781;1;1
43127;9781;1;0
71126;9781;1;0
9780;9781;1;0
12931;9781;1;1
8914;9781;1;0
43123;9781;1;1
9779;9781;1;0
12923;9781;0;1
12948;9781;1;0
40074;9781;1;0
8908;9781;1;1
8916;9781;1;0
12925;9781;1;0
54384;9781;0;1
9777;9781;1;0
40079;9781;1;0
8917;9781;0;1
58364;12921;1;0
79804;12921;1;0
12935;12921;0;1
8923;12921;0;1
12931;12921;1;1
2703;12922;0;1
85423;12922;1;1
54386;12922;0;1
12946;12922;0;1
2695;12922;1;0
12934;12923;1;1
9781;12923;0;1
43123;12923;0;1
12932;12923;1;0
12930;12923;1;1
8922;12923;1;1
78976;12923;1;1
70492;12923;1;1
2684;12923;1;0
40062;12923;1;0
8924;12923;1;0
63112;12923;1;1
62161;12923;1;0
79804;12923;1;1
54365;12923;1;0
2698;12923;1;0
82263;12923;1;1
73991;12923;0;1
8917;12923;1;1
2703;12923;1;0
60797;12923;0;1
40068;12923;0;1
2705;12923;1;0
54384;12923;0;1
12931;12923;0;1
12935;12923;0;1
54390;12923;0;1
40083;12923;1;1
12938;12923;1;1
54389;12923;1;0
79664;12923;1;0
43126;12923;0;1
54393;12923;0;1
12943;12923;1;0
12948;12923;1;0
54364;12923;0;1
69531;12923;1;0
12925;12924;1;1
12932;12924;1;1
2682;12924;1;0
12929;12924;1;1
80349;12924;0;1
69531;12924;0;1
2686;12924;1;1
71126;12924;0;1
54393;12924;1;1
12948;12924;1;1
78976;12924;0;1
70492;12924;1;1
2695;12924;0;1
2705;12924;0;1
12926;12924;1;0
2698;12924;0;1
54364;12924;1;1
22693;12924;0;1
12934;12924;0;1
71126;12925;1;1
12937;12925;1;1
2686;12925;1;1
12924;12925;1;1
78976;12925;1;1
2698;12925;0;1
54364;12925;1;1
54368;12925;1;1
60719;12925;1;1
43126;12925;1;0
54392;12925;1;0
54376;12925;1;0
73834;12925;0;1
54391;12925;1;0
12929;12925;1;1
43123;12925;1;0
2705;12925;0;1
9781;12925;1;0
12932;12925;1;1
69531;12925;1;1
12939;12925;1;0
54393;12925;0;1
12948;12925;1;1
2682;12925;1;0
12936;12925;1;1
70492;12925;0;1
2695;12925;0;1
2687;12925;1;0
82797;12925;0;1
54370;12925;0;1
8295;12925;1;0
8908;12925;1;0
80349;12925;0;1
22693;12925;0;1
12948;12926;1;1
12928;12926;0;1
12932;12926;1;0
12924;12926;1;0
54390;12926;0;1
12937;12926;1;0
54393;12926;1;1
54378;12926;1;0
12948;12928;0;1
54390;12928;0;1
12932;12928;0;1
54393;12928;0;1
12939;12928;0;1
12926;12928;0;1
12948;12929;1;1
12925;12929;1;1
12924;12929;1;1
12934;12929;1;1
8908;12929;0;1
71126;12929;1;1
12931;12929;0;1
54364;12929;1;1
54393;12929;1;1
78976;12929;1;0
12932;12929;1;0
70492;12929;0;1
9777;12929;0;1
8914;12929;0;1
40074;12929;0;1
12923;12930;1;1
63112;12930;1;1
8922;12930;1;1
62161;12930;1;1
54365;12930;1;0
79804;12930;1;1
2684;12930;1;0
12943;12930;1;0
40062;12930;1;0
54389;12930;1;0
71889;12930;0;1
2703;12930;1;1
12933;12930;1;1
8912;12930;0;1
12938;12930;1;0
40074;12930;0;1
8924;12930;1;0
2705;12930;1;1
69531;12930;1;1
2690;12930;1;0
12934;12930;1;0
8923;12930;1;0
8908;12930;0;1
12931;12930;0;1
2698;12930;1;0
12934;12931;1;1
9781;12931;1;1
43123;12931;0;1
8916;12931;1;0
2705;12931;0;1
12935;12931;1;1
54384;12931;0;1
78976;12931;0;1
8908;12931;1;1
43127;12931;1;0
12929;12931;0;1
40062;12931;0;1
12921;12931;1;1
9780;12931;1;0
43126;12931;1;1
40074;12931;1;0
79804;12931;0;1
2703;12931;0;1
8910;12931;0;1
8914;12931;1;0
71126;12931;0;1
2695;12931;0;1
54364;12931;1;1
12930;12931;0;1
12923;12931;0;1
58364;12931;1;0
12924;12932;1;1
12923;12932;1;0
69531;12932;0;1
2686;12932;1;1
12925;12932;1;1
70492;12932;1;1
54364;12932;1;1
54393;12932;1;1
71126;12932;0;1
12926;12932;1;0
12948;12932;1;1
12928;12932;0;1
58364;12932;0;1
80349;12932;0;1
2695;12932;0;1
2705;12932;0;1
54390;12932;0;1
2682;12932;1;0
22693;12932;0;1
78976;12932;0;1
2698;12932;0;1
12929;12932;1;0
20522;12933;0;1
54365;12933;0;1
54382;12933;0;1
108863;12933;0;1
2697;12933;0;1
2684;12933;0;1
2703;12933;1;1
2705;12933;0;1
73991;12933;0;1
12938;12933;1;0
40078;12933;1;0
12930;12933;1;1
69531;12933;0;1
12923;12934;1;1
12931;12934;1;1
12935;12934;0;1
73991;12934;0;1
40086;12934;0;1
54364;12934;1;1
12929;12934;1;1
54384;12934;1;1
8922;12934;1;1
8910;12934;0;1
8923;12934;1;1
59662;12934;0;1
78976;12934;1;0
79804;12934;0;1
63112;12934;0;1
40083;12934;0;1
40068;12934;0;1
8917;12934;0;1
12924;12934;0;1
71126;12934;0;1
12948;12934;1;0
54393;12934;1;0
12930;12934;1;0
20522;12934;0;1
12921;12935;0;1
79804;12935;0;1
54384;12935;0;1
12923;12935;0;1
12931;12935;1;1
63112;12935;0;1
58364;12935;0;1
12934;12935;0;1
2690;12935;0;1
54380;12935;1;0
69531;12935;1;0
39070;12936;0;1
12939;12936;1;1
8295;12936;1;1
57200;12936;1;1
12948;12936;1;0
54394;12936;1;0
60719;12936;1;1
73834;12936;0;1
12925;12936;1;1
54391;12936;1;0
54368;12936;0;1
54370;12936;1;1
12937;12936;1;1
